Title,Length of Song,Artist Name,Album,Genre,Star,Plays,Release Date,Year,Skips,Last Played,Date Added To Library
The A Team,4:18,Ed Sheeran,+ (Deluxe Version),Pop,1,8,07/02/2010,2010,14,"21/08/2024, 8:00 AM","06/08/2020, 9:44 PM"
Aaya Na Tu,3:30,Arjun Kanungo & Momina Mustehsan,Aaya Na Tu - Single,Indian Pop,0,46,20/06/2018,2018,5,"09/07/2023, 8:37 PM","08/08/2020, 1:08 AM"
ABCD,3:26,"Pritam, Benny Dayal, Shefali Alvares & Yo Yo Honey Singh",Yaariyan (Original Motion Picture Soundtrack),Bollywood,0,,09/12/2013,2013,1,,"25/09/2024, 4:31 PM"
Abhi Kuch Dino Se,4:46,Pritam & Mohit Chauhan,Dil Toh Baccha Hai Ji (Original Motion Picture Soundtrack),Bollywood,1,5,23/12/2010,2010,7,"23/12/2022, 11:21 AM","13/05/2021, 5:25 PM"
Addicted,3:57,Prince Royce,Phase II,Salsa and Tropical,1,4,10/04/2012,2012,9,"28/01/2024, 9:09 AM","05/08/2020, 11:29 PM"
Adhoore,4:24,Vishal Dadlani & Alyssa Mendonsa,Break Ke Baad (Original Motion Picture Soundtrack),Bollywood,1,15,15/10/2010,2010,14,"03/10/2024, 8:21 AM","17/08/2020, 12:02 AM"
Admirin' You (feat. Preston Pablo),3:35,Karan Aujla & Ikky,Making Memories,Indian Pop,0,,04/08/2023,2023,,,"06/10/2024, 4:14 PM"
Adore You,3:27,Harry Styles,Fine Line,Pop,1,4,06/12/2019,2019,3,"21/08/2024, 7:08 AM","11/09/2023, 6:50 AM"
Age 19,3:09,Jass Manak,Age 19,Punjabi Pop,1,23,19/02/2019,2019,3,"21/08/2024, 8:12 AM","08/08/2020, 2:01 AM"
Ain't No Mountain High Enough,2:26,Marvin Gaye & Tammi Terrell,Gold: Marvin Gaye,R&B/Soul,0,3,20/04/1967,1967,4,"26/06/2024, 2:18 PM","05/05/2023, 5:07 PM"
Ajab Leher,4:02,Neeraj Shridhar,Break Ke Baad (Original Motion Picture Soundtrack),Bollywood,1,7,15/10/2010,2010,9,"21/08/2024, 8:17 AM","17/08/2020, 12:02 AM"
Ajj Din Chadheya,5:15,Rahat Fateh Ali Khan,Love Aaj Kal (Original Motion Picture Soundtrack),Bollywood,1,4,31/07/2009,2009,7,"21/08/2024, 7:22 AM","09/09/2020, 10:40 AM"
"Akhar (From ""Lahoriye"" Soundtrack)",3:40,Amrinder Gill & Jatinder Shah,"Akhar (From ""Lahoriye"" Soundtrack) - Single",Worldwide,2,10,21/03/2017,2017,15,"05/06/2024, 8:51 AM","26/09/2021, 8:47 PM"
Akhiyaan,3:12,Mitraz,Akhiyaan - Single,Pop,0,6,24/02/2022,2022,9,"21/08/2024, 8:27 AM","09/06/2022, 6:47 PM"
Akhiyaan Gulaab,2:51,Mitraz,Teri Baaton Mein Aisa Uljha Jiya (Original Motion Picture Soundtrack) - EP,Bollywood,0,1,19/01/2024,2024,,"07/10/2024, 8:49 AM","06/10/2024, 6:35 PM"
Ale,4:40,"Pritam, Neeraj Shridhar & Antara Mitra",Golmaal 3 (Original Motion Picture Soundtrack),Bollywood,0,1,07/10/2010,2010,6,"22/09/2023, 5:27 AM","03/03/2023, 7:49 PM"
All Black,3:38,Raftaar & Sukh-E Muzical Doctorz,All Black - Single,Indian Pop,1,1,10/10/2015,2015,10,"18/09/2023, 6:08 PM","23/01/2023, 9:05 PM"
All Eyez On Me (feat. Big Syke),5:08,2Pac,All Eyez On Me,Hip-Hop/Rap,0,8,13/02/1996,1996,11,"09/09/2023, 6:29 AM","27/05/2023, 9:42 AM"
All the Way Up (feat. French Montana & Infared),3:12,Fat Joe & Remy Ma,All the Way Up (feat. French Montana & Infared) - Single,Hip-Hop/Rap,1,13,02/03/2016,2016,12,"22/09/2024, 11:09 AM","14/08/2020, 9:59 PM"
Allah Ve,4:25,Jassie Gill,Allah Ve - Single,Punjabi Pop,1,5,30/11/2019,2019,4,"10/10/2022, 10:38 AM","12/04/2022, 10:33 AM"
Alone,3:10,Jon Caryl,Alone - Single,Singer/Songwriter,0,,18/03/2022,2022,4,,"08/03/2023, 2:54 PM"
Alone,3:11,Rod Wave,Beautiful Mind,Hip-Hop/Rap,0,2,08/08/2022,2022,3,"12/01/2023, 12:16 PM","22/08/2022, 12:34 PM"
Am I Wrong,4:08,Nico & Vinz,Am I Wrong - Single,Pop,0,8,12/04/2013,2013,9,"17/01/2024, 5:20 PM","20/03/2021, 12:27 AM"
American Bad Dream,3:19,Kane Brown,Experiment Extended,Country,1,7,09/11/2018,2018,10,"09/09/2023, 8:20 AM","06/08/2020, 12:01 AM"
American Idiot,2:55,Green Day,American Idiot,Alternative,1,1,31/08/2004,2004,2,"27/04/2024, 10:22 AM","09/08/2023, 8:49 AM"
AmeriKKKa's Most Wanted,4:08,Ice Cube,AmeriKKKa's Most Wanted,Hip-Hop/Rap,0,1,17/04/1990,1990,,"22/06/2024, 7:14 AM","27/05/2024, 2:39 PM"
Amplifier,3:53,Imran Khan,Unforgettable,Worldwide,1,9,27/07/2009,2009,9,"30/04/2024, 8:35 AM","08/08/2020, 1:03 AM"
Animals,3:51,Maroon 5,V (Deluxe),Pop,1,7,22/08/2014,2014,5,"21/08/2024, 8:31 AM","06/08/2020, 9:59 PM"
Another Love,4:04,Tom Odell,Long Way Down,Singer/Songwriter,0,2,15/10/2012,2012,7,"21/08/2024, 7:35 AM","19/08/2022, 2:36 PM"
Antidote,3:07,Karan Aujla,Four Me (Apple Music Edition) - EP,New Age,0,1,26/06/2024,2024,,"06/10/2024, 7:05 PM","06/10/2024, 6:35 PM"
"Apna Bana Le (From ""Bhediya"")",4:22,"Arijit Singh, Sachin-Jigar & Amitabh Bhattacharya","Apna Bana Le (From ""Bhediya"") - Single",Bollywood,0,15,05/11/2022,2022,9,"07/09/2024, 8:16 AM","25/02/2023, 4:12 AM"
Are You Ready,4:10,AC/DC,The Razors Edge,Hard Rock,0,6,21/09/1990,1990,13,"08/10/2022, 9:38 PM","06/09/2020, 11:00 AM"
Arrest the President,3:54,Ice Cube,Everythangs Corrupt,Hip-Hop/Rap,1,6,09/11/2018,2018,9,"30/06/2023, 4:15 PM","10/09/2020, 10:55 AM"
As It Was,2:47,Harry Styles,Harry's House,Pop,0,2,31/03/2022,2022,7,"04/08/2024, 7:34 AM","11/09/2023, 6:50 AM"
As Long as You Love Me,3:41,Backstreet Boys,Backstreet's Back,Pop,1,5,06/05/1996,1996,6,"13/05/2024, 9:13 AM","07/09/2020, 10:24 PM"
As You Are (feat. Shy Carter),3:56,Charlie Puth,Nine Track Mind,Pop,0,1,29/01/2016,2016,1,"24/05/2024, 8:53 AM","30/04/2024, 9:16 PM"
Asal Mein,3:44,Darshan Raval,Asal Mein - Single,Indian,1,,18/02/2020,2020,5,,"23/05/2023, 3:44 PM"
A*****e (feat. Skylar Grey),4:49,Eminem,The Marshall Mathers LP2 (Deluxe),Hip-Hop/Rap,1,,05/11/2013,2013,8,,"05/08/2020, 11:21 PM"
A*****e (feat. Skylar Grey),4:49,Eminem,The Marshall Mathers LP2 (Expanded Edition),Hip-Hop/Rap,0,,05/11/2013,2013,,,"22/06/2024, 7:08 AM"
At Last,4:40,Etta James,The Essential Etta James,Jazz,0,,29/06/1999,1999,5,,"12/02/2024, 5:06 PM"
At My Worst,2:50,Pink Sweat$,The Prelude - EP,R&B/Soul,0,12,01/01/2020,2020,8,"17/01/2024, 4:29 PM","12/05/2021, 1:26 AM"
Attention,3:29,Charlie Puth,Voicenotes,Pop,1,10,21/04/2017,2017,9,"22/05/2024, 1:49 PM","06/08/2020, 8:41 PM"
Baaki Baatein Peene Baad (Shots) [feat. Badshah],3:40,Arjun Kanungo,Baaki Baatein Peene Baad (Shots) [feat. Badshah] - Single,Indian Pop,1,7,25/09/2015,2015,3,"20/04/2024, 9:40 AM","07/06/2023, 3:06 PM"
Baarish Lete Aana,3:34,Darshan Raval,Baarish Lete Aana - Single,Indian,1,11,18/07/2018,2018,6,"14/09/2023, 7:33 AM","07/08/2020, 12:48 AM"
Baatein Karo,3:15,Vayu,Baatein Karo - Single,Indian Pop,1,13,04/03/2020,2020,9,"29/09/2024, 9:36 PM","08/10/2020, 11:31 PM"
Baazigar,2:49,DIVINE & Armani White,Gunehgar,Rap,0,20,10/11/2022,2022,6,"16/07/2024, 6:14 PM","12/12/2022, 2:13 PM"
Baby Come Back to Me,3:46,Kane Brown,Experiment Extended,Country,2,7,09/11/2018,2018,15,"25/04/2024, 6:35 PM","06/08/2020, 12:01 AM"
"Baby, You're a Rich Man",3:01,The Beatles,Magical Mystery Tour,Rock,1,14,07/07/1967,1967,7,"17/07/2024, 7:19 AM","08/11/2020, 1:47 PM"
Bach Nayion Sakda,3:53,Prabh Gill,Nikka Zaildar (Original Motion Picture Soundtrack) - EP,Punjabi,0,2,22/09/2016,2016,9,"26/04/2023, 10:27 AM","01/05/2021, 9:46 PM"
Back In Black,4:16,AC/DC,Back In Black,Hard Rock,0,3,25/07/1980,1980,19,"03/08/2024, 6:53 AM","06/09/2020, 11:00 AM"
"Back In Time (From ""Men In Black III"")",3:26,Pitbull,"Back In Time (From ""Men In Black III"") - Single",Pop,0,,26/03/2012,2012,2,,"16/05/2023, 11:58 AM"
Back to Life (80s Remix),3:14,Hailee Steinfeld,"Back to Life (From the Motion Picture ""Bumblebee"") - Single",Soundtrack,0,1,21/12/2018,2018,8,"20/11/2023, 5:23 AM","11/06/2022, 6:43 PM"
Back To You,3:30,Selena Gomez,13 Reasons Why (Season 2),Pop,1,1,10/05/2018,2018,5,"12/04/2023, 7:36 AM","22/08/2022, 12:40 PM"
Backbone,2:55,Harrdy Sandhu,Backbone - Single,Indian Pop,1,1,06/01/2017,2017,7,"29/05/2024, 7:19 AM","04/05/2023, 12:53 PM"
Bad,4:07,Michael Jackson,Bad (25th Anniversary Edition),Pop,0,4,31/08/1987,1987,7,"23/11/2023, 5:39 PM","13/04/2022, 12:15 AM"
Bad Boy X Bad Girl (feat. Nikhita Gandhi),3:19,Badshah,Bad Boy X Bad Girl (feat. Nikhita Gandhi) - Single,Indian Pop,0,1,17/09/2021,2021,2,"19/09/2024, 11:37 AM","18/09/2024, 1:13 PM"
Bad Liar,4:21,Imagine Dragons,Origins (Deluxe),Alternative,1,10,09/11/2018,2018,12,"29/11/2021, 10:01 AM","05/08/2020, 11:31 PM"
Bajrang Baan-Lofi,3:38,Rasraj Ji Maharaj,Bajrang Baan-Lofi - Single,Devotional & Spiritual,0,2,05/01/2023,2023,1,"06/10/2024, 7:51 AM","18/07/2024, 11:01 PM"
Ball For Me (feat. Nicki Minaj),3:26,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,0,4,27/04/2018,2018,,"29/05/2024, 7:27 AM","11/11/2023, 6:46 AM"
Bandeya Rey Bandeya,4:15,Arijit Singh & Asees Kaur,Simmba (Original Motion Picture Soundtrack),Bollywood,0,5,27/12/2018,2018,8,"31/01/2024, 9:18 AM","21/08/2021, 2:05 AM"
Bandhu Tu Mera,3:02,Yasser Desai,Jawaani Jaaneman (Original Motion Picture Soundtrack) - EP,Bollywood,0,6,15/01/2020,2020,3,"21/11/2023, 2:14 PM","04/08/2022, 8:02 PM"
Bandoleros (feat. Tego Calderón),5:05,Don Omar,The Fast and the Furious Soundtrack Collection,Soundtrack,1,1,06/12/2005,2005,3,"18/10/2023, 5:37 AM","30/06/2023, 7:22 AM"
Bandook Meri Laila (feat. Raftaar & Sidharth Malhotra),3:35,"Sachin-Jigar, Ash King & Jigar Saraiya",A Gentleman (Original Motion Picture Soundtrack),Bollywood,1,14,16/08/2017,2017,14,"27/02/2024, 5:35 PM","05/04/2022, 12:07 PM"
A Bar Song (Tipsy),2:51,Shaboozey,"Where I've Been, Isn't Where I'm Going",Country,0,9,12/04/2024,2024,2,"21/08/2024, 2:40 PM","13/04/2024, 9:51 PM"
Barcelona,3:11,Ed Sheeran,÷ (Deluxe),Pop,1,3,03/03/2017,2017,13,"22/02/2022, 4:06 AM","06/08/2020, 9:43 PM"
Bas Ek Kinng (feat. Hard Kaur) [Tiger Style Mix],4:41,"Mika Singh, Neeraj Shridhar, Ashish Pandit & Pritam",Singh Is Kinng (Original Motion Picture Soundtrack),Bollywood,0,1,26/06/2008,2008,1,"13/08/2024, 4:20 PM","13/08/2024, 4:22 PM"
Be Alright,3:16,Dean Lewis,Be Alright - Single,Singer/Songwriter,1,6,29/06/2018,2018,17,"04/09/2024, 7:28 AM","11/08/2020, 12:09 AM"
Be Alright,3:16,Dean Lewis,A Place We Knew,Singer/Songwriter,1,2,29/06/2018,2018,5,"02/05/2024, 8:40 AM","03/03/2023, 7:49 PM"
Be Like That,3:11,"Kane Brown, Swae Lee, Khalid","Mixtape, Vol. 1 - EP",Pop,1,12,10/07/2020,2020,12,"21/08/2023, 6:24 PM","14/08/2020, 1:38 PM"
"Beast (feat. Busta Rhymes, KXNG Crooked & Tech N9ne) [Southpaw Remix]",4:39,Rob Bailey & The Hustle Standard,Southpaw (Music from and Inspired By the Motion Picture),Soundtrack,1,,24/07/2015,2015,5,,"26/09/2022, 10:59 AM"
Beautiful,2:58,Bazzi,COSMIC,Pop,1,5,02/07/2017,2018,10,"16/07/2023, 1:37 PM","05/08/2020, 11:19 PM"
Beautiful,6:33,Eminem,Relapse: Refill,Hip-Hop/Rap,2,8,12/05/2009,2009,2,"07/09/2024, 7:59 AM","05/08/2020, 11:20 PM"
Beautiful Goodbye,4:18,Maroon 5,Overexposed (Deluxe Version),Pop,1,3,20/06/2012,2012,6,"10/11/2023, 3:56 PM","06/08/2020, 9:59 PM"
Beautiful People (feat. Khalid),3:18,Ed Sheeran,No.6 Collaborations Project,Pop,1,14,28/06/2019,2019,9,"27/09/2024, 8:04 AM","06/08/2020, 9:42 PM"
Before You Go,3:36,Lewis Capaldi,Divinely Uninspired To a Hellish Extent (Extended Edition),Alternative,1,6,19/11/2019,2019,12,"31/05/2024, 6:29 AM","14/10/2020, 10:38 PM"
Bekhayali,6:12,Sachet Tandon,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,1,2,24/05/2019,2019,14,"26/05/2023, 1:25 PM","07/08/2020, 1:11 AM"
Bekhayali (Arijit Singh Version),6:10,Arijit Singh,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,0,3,03/06/2019,2019,7,"23/12/2023, 5:26 PM","07/08/2020, 1:11 AM"
Believer,3:24,Imagine Dragons,Evolve,Alternative,1,7,01/02/2017,2017,10,"27/07/2024, 8:17 AM","05/08/2020, 11:31 PM"
Berzerk,3:59,Eminem,The Marshall Mathers LP2 (Expanded Edition),Hip-Hop/Rap,0,,27/08/2013,2013,,,"22/06/2024, 7:08 AM"
Best Day of My Life (Single Version),3:14,American Authors,"Oh, What a Life",Alternative,0,2,01/01/2013,2013,2,"23/08/2024, 7:57 AM","15/01/2024, 8:33 PM"
Best Shot,3:16,Jimmie Allen,Mercury Lane,Country,1,14,06/10/2017,2017,10,"17/06/2024, 12:27 PM","06/08/2020, 12:00 AM"
Best Song Ever,3:20,One Direction,Midnight Memories (Deluxe Edition),Pop,1,3,22/07/2013,2013,5,"21/05/2023, 6:10 PM","06/08/2020, 8:49 PM"
Bet My Heart,3:16,Maroon 5,Red Pill Blues (Deluxe),Pop,1,5,03/11/2017,2017,7,"13/08/2024, 9:06 PM","06/08/2020, 9:58 PM"
Better,3:49,Khalid,Free Spirit,R&B/Soul,1,6,14/09/2018,2018,5,"13/08/2024, 9:12 AM","01/09/2022, 9:12 PM"
Better Now,3:51,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,1,15,27/04/2018,2018,13,"17/06/2024, 10:46 AM","05/08/2020, 11:15 PM"
Better off Gone,3:02,Logan Mize,Come Back Road,Country,1,7,10/02/2017,2017,7,"02/08/2024, 8:48 AM","06/12/2020, 12:16 PM"
Better On Me (feat. Ty Dolla $ign),3:48,Pitbull,Climate Change,Pop,1,3,17/03/2017,2017,1,"25/07/2024, 7:55 AM","18/04/2024, 8:19 AM"
Bewafa,3:45,Imran Khan,Unforgettable,Worldwide,1,4,27/07/2009,2009,8,"17/03/2024, 8:08 AM","08/08/2020, 1:04 AM"
Bewakoofiyaan,4:25,Raghu Dixit,Bewakoofiyaan (Original Motion Picture Soundtrack),Bollywood,1,3,19/02/2014,2014,14,"27/12/2023, 12:49 PM","07/08/2020, 12:44 AM"
Bhool Bhulaiyaa,5:25,Pritam & Neeraj Shridhar,Bhool Bhulaiyaa (Original Motion Picture Soundtrack),Bollywood,1,2,03/09/2007,2007,10,"24/10/2023, 5:31 PM","19/04/2022, 11:13 PM"
Bibia Be Ye Ye,2:57,Ed Sheeran,÷ (Deluxe),Pop,1,3,03/03/2017,2017,6,"27/11/2023, 7:17 AM","06/08/2020, 9:43 PM"
"Big, Big Plans",3:07,Chris Lane,"Big, Big Plans - Single",Country,1,6,28/06/2019,2019,10,"24/12/2023, 7:39 AM","20/12/2020, 11:56 AM"
Billionaire (feat. Bruno Mars),3:31,Travie McCoy,Billionaire (feat. Bruno Mars) - Single,Pop,1,4,09/03/2010,2010,11,"04/08/2024, 7:37 PM","07/08/2020, 12:31 AM"
Black and Yellow,3:38,Wiz Khalifa,Rolling Papers,Hip-Hop/Rap,1,7,14/09/2010,2010,14,"21/11/2022, 9:34 PM","07/08/2020, 10:08 AM"
Black Betty,3:26,Spiderbait,Tonight Alright,Alternative,0,,17/08/2004,2004,3,,"10/03/2024, 8:20 PM"
Blessed & Free,3:18,Kane Brown & H.E.R.,Blessed & Free - Single,Country,0,1,30/09/2021,2021,5,"10/11/2023, 3:18 PM","21/07/2022, 3:00 AM"
Blinding Lights,3:20,The Weeknd,After Hours,R&B/Soul,1,20,29/11/2019,2019,14,"22/09/2024, 8:44 AM","06/08/2020, 12:17 AM"
Blinding Lights,3:22,The Weeknd,Blinding Lights - Single,R&B/Soul,0,7,29/11/2019,2019,8,"02/09/2023, 6:06 PM","30/06/2023, 12:53 PM"
Blitzkrieg Bop,2:13,Ramones,Ramones,Punk,0,7,01/02/1976,1976,9,"28/07/2024, 8:13 PM","16/12/2021, 4:13 PM"
Blood In The Cut,3:09,K.Flay,Every Where Is Some Where,Alternative,0,1,19/08/2016,2016,,"21/05/2024, 9:40 AM","12/05/2024, 11:33 AM"
Blowin' In the Wind,2:49,Bob Dylan,The Freewheelin' Bob Dylan,Rock,0,10,27/05/1963,1963,12,"30/09/2023, 6:36 AM","16/12/2021, 10:46 AM"
Blowin' Smoke,3:09,Kacey Musgraves,Same Trailer Different Park,Country,0,,01/01/2013,2013,,,"18/07/2024, 10:15 PM"
Blowing Up,4:07,KR$NA,Blowing Up - Single,Hip-Hop/Rap,0,,10/03/2022,2022,,,"24/09/2024, 1:50 PM"
Blurred Lines (feat. T.I. & Pharrell),4:23,Robin Thicke,Blurred Lines (Deluxe Version),Pop,0,1,15/03/2013,2013,,"21/08/2024, 8:39 PM","20/07/2024, 12:40 PM"
Bob's Beat (feat. Mawe),3:23,WDL,Legotrap - EP,Dance,0,6,27/06/2014,2014,4,"02/09/2023, 6:21 PM","06/06/2023, 8:01 PM"
Bom Bidi Bom,3:35,Nick Jonas & Nicki Minaj,Fifty Shades Darker (Original Motion Picture Soundtrack),Soundtrack,0,2,10/02/2017,2017,4,"30/07/2024, 9:20 AM","15/03/2023, 5:45 AM"
Bombay To Punjab,4:03,Deep Jandu,Down to Earth,Pop,0,15,13/12/2019,2019,7,"08/10/2024, 7:59 AM","25/10/2022, 10:35 PM"
Born to Be Yours,3:13,Kygo & Imagine Dragons,Born to Be Yours - Single,Pop,1,6,07/08/2019,2019,12,"28/01/2024, 9:05 AM","12/08/2020, 6:21 PM"
Born to Shine,3:33,Diljit Dosanjh,G.O.A.T.,Indian Pop,0,2,30/07/2020,2020,4,"13/09/2024, 4:00 PM","29/08/2024, 7:49 AM"
Boulevard of Broken Dreams,4:21,Green Day,American Idiot,Alternative,1,5,21/09/2004,2004,15,"04/08/2024, 8:30 PM","06/08/2020, 8:57 PM"
Bow Chicka Wow Wow,3:16,Mike Posner,31 Minutes to Takeoff,Pop,0,5,10/08/2010,2010,4,"23/01/2024, 11:40 AM","26/09/2021, 10:18 PM"
Boy Gets a Truck,3:27,Jimmie Allen,Mercury Lane,Country,1,11,12/10/2018,2018,7,"17/01/2024, 5:48 PM","06/08/2020, 12:00 AM"
Boyz-n-the-Hood,5:39,Eazy-E,N.W.A. and the Posse,Hip-Hop/Rap,0,,06/11/1987,1987,,,"27/05/2024, 2:39 PM"
Boyz-n-the-Hood,5:37,Eazy-E,Straight Outta Compton (Music from the Motion Picture),Hip-Hop/Rap,0,,06/11/1987,1987,5,,"10/06/2022, 11:07 AM"
Brand New,3:03,"Tyga, YG & Lil Wayne",Hit Me When U Leave The Klub: The Playlist,Hip-Hop/Rap,1,17,27/09/2023,2023,1,"19/09/2024, 1:13 PM","02/10/2023, 7:17 PM"
Break Up Every Night,3:28,The Chainsmokers,Memories...Do Not Open,Dance,1,12,07/04/2017,2017,15,"24/12/2023, 4:08 PM","05/08/2020, 11:30 PM"
Broken,4:37,Patrick Watson,Broken - Single,Alternative,2,,16/11/2017,2017,9,,"03/03/2023, 7:49 PM"
Brown Munde,4:14,"AP Dhillon, Gminxr, Gurinder Gill & Shinda Kahlon",Brown Munde - Single,Hip-Hop/Rap,1,22,18/09/2020,2020,13,"19/05/2024, 8:20 PM","18/12/2021, 11:07 AM"
Build It Better,3:54,Aron Wright,Build It Better - Single,Singer/Songwriter,2,9,19/03/2015,2015,5,"08/09/2024, 7:57 AM","31/07/2021, 7:23 PM"
"Bujji (From ""Jagame Thandhiram"")",4:27,Santhosh Narayanan & Anirudh Ravichander,"Bujji (From ""Jagame Thandhiram"") - Single",Tamil,0,,13/11/2020,2020,,,"12/02/2024, 5:06 PM"
Burning Man (feat. Post Malone),3:17,Andrew Watt,Burning Man (feat. Post Malone) - Single,Alternative,0,6,18/01/2017,2017,2,"27/09/2024, 11:35 AM","12/05/2024, 12:27 PM"
Bury Me a G (feat. Natasha Walker),4:59,Thug Life,"Thug Life, Vol. 1",Hip-Hop/Rap,0,1,26/09/1994,1994,2,"16/09/2024, 7:48 AM","27/05/2024, 2:39 PM"
Business,4:12,Eminem,The Eminem Show (Expanded Edition),Hip-Hop/Rap,0,,26/05/2002,2002,2,,"22/06/2024, 7:07 AM"
Butterflies (feat. Fletcher),3:11,MAX,Butterflies (feat. Fletcher) - Single,Pop,0,,10/12/2021,2021,10,,"01/09/2022, 9:12 PM"
C U Later,4:58,Euphoria,Item,Pop,1,3,01/01/2011,2011,5,"27/07/2024, 6:52 AM","06/08/2020, 8:55 PM"
California Love (feat. Roger Troutman & Dr. Dre),4:45,2Pac,Greatest Hits,Hip-Hop/Rap,0,8,28/12/1995,1995,7,"18/09/2024, 7:29 AM","12/04/2022, 11:42 AM"
California Love (feat. Roger Troutman & Dr. Dre),4:45,2Pac,Greatest Hits,Hip-Hop/Rap,0,2,28/12/1995,1995,2,"11/03/2024, 1:25 PM","18/02/2024, 8:16 AM"
Can't Help Falling In Love,3:06,Elvis Presley,Blue Hawaii (Original Soundtrack),Pop,1,11,01/10/1961,1961,5,"03/07/2024, 6:28 AM","28/10/2020, 12:55 AM"
Can't Hold Us (feat. Ray Dalton),4:18,Macklemore & Ryan Lewis,"No Equal, Vol. 3",Hip-Hop/Rap,1,9,16/08/2011,2011,6,"19/09/2024, 11:49 AM","09/08/2020, 12:36 AM"
"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"")",3:56,Justin Timberlake,"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Trolls"") - Single",Pop,1,2,06/05/2016,2016,3,"23/10/2023, 12:18 PM","06/08/2020, 9:02 PM"
Candy Paint,3:48,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,1,15,14/04/2017,2017,8,"09/09/2023, 6:51 AM","05/08/2020, 11:15 PM"
Candy Shop (feat. Olivia),3:29,50 Cent,The Massacre,Hip-Hop/Rap,0,,08/02/2005,2005,3,,"27/05/2024, 2:39 PM"
Careless Whisper,5:03,George Michael,Twenty Five,Pop,0,1,24/07/1984,1984,3,"25/08/2023, 4:22 PM","03/03/2023, 7:49 PM"
Carry On (From “POKÉMON Detective Pikachu”),3:35,Kygo & Rita Ora,Carry On (From “POKÉMON Detective Pikachu”) - Single,Dance,1,1,19/04/2019,2019,9,"26/05/2024, 7:15 AM","07/08/2020, 1:06 AM"
Case,2:16,Diljit Dosanjh,Ghost,Worldwide,1,15,29/09/2023,2023,5,"06/10/2024, 7:08 PM","31/01/2024, 10:50 AM"
Castle on the Hill,4:21,Ed Sheeran,÷ (Deluxe),Pop,1,3,06/01/2017,2017,4,"14/08/2024, 12:15 PM","06/08/2020, 9:43 PM"
Chaandaniya,4:08,K. Mohan & Yashita Sharma,2 States (Original Motion Picture Soundtrack),Bollywood,1,12,14/03/2014,2014,14,"13/08/2024, 9:16 AM","07/08/2020, 9:55 AM"
Chain Hang Low,3:35,Crizzly,Chain Hang Low - Single,Dance,1,1,13/08/2018,2018,3,"13/12/2023, 4:48 PM","11/10/2023, 7:31 PM"
Chaiyya Chaiyya,6:57,Sukhwinder Singh & Sapna Awasthi,Dil Se (Original Motion Picture Soundtrack),Bollywood,0,1,08/07/1998,1998,6,"29/09/2024, 9:33 PM","04/11/2023, 11:01 PM"
Chal Bombay,2:54,DIVINE,Kohinoor,Hip-Hop/Rap,1,2,09/10/2019,2019,8,"14/05/2023, 9:58 AM","19/01/2023, 9:19 AM"
Chale Aana,4:31,Armaan Malik & Amaal Mallik,De De Pyaar De (Original Motion Picture Soundtrack),Bollywood,0,2,02/05/2019,2019,8,"21/08/2022, 12:31 PM","10/10/2021, 10:32 AM"
"Chaleya (From ""Jawan"")",3:20,"Anirudh Ravichander, Arijit Singh, Shilpa Rao & Kumaar","Chaleya (From ""Jawan"") - Single",Bollywood,0,13,14/08/2023,2023,5,"07/10/2024, 7:16 AM","15/09/2023, 5:58 AM"
Chandigarh Ka Chokra,2:24,Sunanda Sharma,Chandigarh Ka Chokra - Single,Indian Pop,0,4,09/11/2023,2023,,"07/10/2024, 7:21 AM","06/05/2024, 10:23 AM"
changes,2:02,XXXTENTACION,?,Pop,0,15,02/03/2018,2018,9,"23/11/2023, 9:17 AM","27/12/2021, 5:34 PM"
Character Dheela 2.0,2:37,"Pritam, Neeraj Shridhar, Ashish Pandit & Amitabh Bhattacharya",Shehzada (Original Motion Picture Soundtrack) - EP,Bollywood,0,17,09/02/2023,2023,4,"07/10/2024, 8:04 AM","15/04/2023, 2:31 AM"
Chasin' You,3:25,Morgan Wallen,If I Know Me,Country,0,5,27/04/2018,2018,5,"07/10/2024, 8:07 AM","22/08/2022, 1:39 PM"
Chauffeur,3:25,"Diljit Dosanjh, Tory Lanez & Ikky",Chauffeur - Single,Indian Pop,1,6,08/04/2022,2022,7,"28/09/2024, 8:35 AM","04/05/2023, 1:53 PM"
Check It Out,3:16,Parmish Verma & Paradox,Check It Out - Single,Regional Indian,0,9,27/06/2023,2023,2,"05/08/2024, 1:32 PM","04/05/2024, 9:33 AM"
Chedkhaniyan,3:51,"Pritam, Arijit Singh, Nikhita Gandhi, IP Singh & Shloke Lal",Shehzada (Original Motion Picture Soundtrack) - EP,Bollywood,0,4,24/01/2023,2023,8,"23/08/2024, 7:49 AM","15/04/2023, 1:31 AM"
Chehra Tera,3:16,Jass Manak,Age 19,Punjabi Pop,1,6,19/02/2019,2019,8,"16/09/2024, 8:21 AM","08/08/2020, 2:01 AM"
Chemical,3:03,Post Malone,AUSTIN (Bonus),Pop,0,9,14/04/2023,2023,2,"16/09/2024, 8:24 AM","11/11/2023, 7:45 AM"
